size,destination,fec,timestamp
1070,10.1.1.2:4242,false,1621714772318583056
37,10.1.1.2:4242,false,1621714772370189386
34,10.1.1.2:4242,false,1621714772370326518
1072,10.1.1.2:4242,false,1621714772370705323
37,10.1.1.2:4242,false,1621714772421490721
34,10.1.1.2:4242,false,1621714772428077746
1072,10.1.1.2:4242,false,1621714772428817368
37,10.1.1.2:4242,false,1621714772479743637
34,10.1.1.2:4242,false,1621714772480490889
25,10.1.1.2:4242,false,1621714772480892300
25,10.1.1.2:4242,false,1621714772480947434
1350,10.1.1.2:4242,false,1621714772481746864
1350,10.1.1.2:4242,false,1621714772481828398
1350,10.1.1.2:4242,false,1621714772481901965
1350,10.1.1.2:4242,false,1621714772481959572
1350,10.1.1.2:4242,false,1621714772482019315
1350,10.1.1.2:4242,false,1621714772482082008
1350,10.1.1.2:4242,false,1621714772482140391
1350,10.1.1.2:4242,false,1621714772482197866
1350,10.1.1.2:4242,false,1621714772482264410
1350,10.1.1.2:4242,false,1621714772482353507
1350,10.1.1.2:4242,false,1621714772482424833
1350,10.1.1.2:4242,false,1621714772482496729
1350,10.1.1.2:4242,false,1621714772482559275
1350,10.1.1.2:4242,false,1621714772482620023
1350,10.1.1.2:4242,false,1621714772482682595
1350,10.1.1.2:4242,false,1621714772482740603
1350,10.1.1.2:4242,false,1621714772482801245
1350,10.1.1.2:4242,false,1621714772482862895
1350,10.1.1.2:4242,false,1621714772512712840
1350,10.1.1.2:4242,false,1621714772512782640
1350,10.1.1.2:4242,false,1621714772512862319
1350,10.1.1.2:4242,false,1621714772512979044
1350,10.1.1.2:4242,false,1621714772513068085
1350,10.1.1.2:4242,false,1621714772513155069
1350,10.1.1.2:4242,false,1621714772513219968
1350,10.1.1.2:4242,false,1621714772513522920
1350,10.1.1.2:4242,false,1621714772513589050
1350,10.1.1.2:4242,false,1621714772513652999
1350,10.1.1.2:4242,false,1621714772513833078
1350,10.1.1.2:4242,false,1621714772513898430
1350,10.1.1.2:4242,false,1621714772513999425
1350,10.1.1.2:4242,false,1621714772514079445
1350,10.1.1.2:4242,false,1621714772514171803
1350,10.1.1.2:4242,false,1621714772514238168
1350,10.1.1.2:4242,false,1621714772514313603
794,10.1.1.2:4242,false,1621714772514364514
34,10.1.1.2:4242,false,1621714772531644037
