streamID,gaps,timestamp
0,1,1621714772344719138
0,1,1621714772396154359
0,1,1621714772454362341
1,1,1621714772497378315
1,2,1621714772497758305
1,3,1621714772497860682
1,4,1621714772498222234
1,5,1621714772498560032
1,6,1621714772498681513
1,7,1621714772498792455
1,8,1621714772498890958
1,9,1621714772498976674
1,9,1621714772507386053
1,8,1621714772508153497
1,7,1621714772508441162
1,6,1621714772508537009
1,5,1621714772508616209
1,4,1621714772508707887
1,3,1621714772508783817
1,2,1621714772508860550
1,1,1621714772508939345
1,1,1621714772528282094
1,1,1621714772529110116
1,1,1621714772529243920
1,1,1621714772529921028
1,1,1621714772530021683
1,1,1621714772530136045
1,1,1621714772530560482
1,1,1621714772530683853
1,1,1621714772530791943
1,1,1621714772530959734
1,1,1621714772531469004
1,1,1621714772531629503
1,1,1621714772531751023
1,1,1621714772531914315
1,1,1621714772532001176
1,1,1621714772532083320
1,1,1621714772532436222
1,1,1621714772533077387
1,1,1621714773972911531
1,1,1621714773973858202
1,1,1621714773973997125
1,1,1621714773974099330
1,1,1621714773974899587
1,1,1621714773975093235
1,1,1621714773975195398
1,1,1621714773975289417
1,1,1621714773975399801
1,1,1621714773983424590
1,1,1621714773984289739
1,1,1621714773984808441
1,1,1621714773984924128
1,1,1621714773985023441
1,1,1621714773985101198
1,1,1621714773985199949
1,1,1621714773985281170
1,1,1621714773985445571
1,1,1621714774004468820
1,1,1621714774004602725
1,1,1621714774005317298
1,1,1621714774005494489
1,1,1621714774005684096
1,1,1621714774005764706
1,1,1621714774005848928
1,1,1621714774005929432
1,1,1621714774006019355
1,1,1621714774006513479
1,1,1621714774007102684
1,1,1621714774007698451
1,1,1621714774007818297
1,1,1621714774007936648
1,1,1621714774008052091
1,1,1621714774008259453
1,1,1621714774008366496
1,1,1621714774008459524
1,1,1621714774008970644
1,1,1621714774034877646
1,1,1621714774035037083
1,1,1621714774035150347
1,1,1621714774035669131
1,2,1621714774036216429
1,2,1621714774036311988
1,2,1621714774036389428
1,2,1621714774036462042
1,2,1621714774037058758
1,2,1621714774037155893
1,2,1621714774037255172
1,2,1621714774037403744
1,2,1621714774037517832
1,2,1621714774037632925
1,2,1621714774037730276
1,2,1621714774037840033
1,2,1621714774037931726
1,2,1621714774038199653
1,2,1621714774038312735
1,2,1621714774038400605
1,2,1621714774038476531
1,2,1621714774039000585
1,2,1621714774039160964
1,2,1621714774039305914
1,2,1621714774039425939
1,2,1621714774039662999
1,2,1621714774039744249
1,2,1621714774039843293
1,2,1621714774040512159
1,2,1621714774040729177
1,2,1621714774041278720
1,1,1621714774041411034
1,1,1621714774042045472
1,1,1621714774042197683
1,1,1621714774042317741
1,1,1621714774042433484
1,1,1621714774042642840
1,1,1621714774042720739
1,1,1621714778459409210
1,1,1621714778460256782
1,1,1621714778460545113
1,1,1621714783749685104
1,1,1621714783749870223
1,1,1621714783750627271
1,1,1621714783750749011
1,1,1621714783751097497
1,1,1621714783751200639
1,1,1621714786959447515
1,1,1621714786960276546
1,1,1621714786960582233
1,1,1621714786960678227
1,1,1621714786960760803
1,1,1621714786960842794
1,1,1621714786960964120
1,1,1621714786961642736
1,1,1621714786961778672
1,1,1621714786970010728
1,1,1621714786970921001
1,1,1621714786971003655
1,1,1621714787916267113
1,1,1621714787916890262
1,1,1621714787917979164
1,1,1621714787918237607
1,1,1621714787918379238
1,1,1621714787918818335
1,1,1621714787918925199
1,1,1621714787919031044
1,1,1621714787919129209
1,1,1621714787926755431
1,1,1621714787926930289
1,1,1621714787927038532
1,1,1621714787927868547
1,1,1621714787928653158
1,1,1621714787929333909
1,1,1621714787929556544
1,1,1621714787929637652
1,1,1621714787929713519
1,1,1621714787947513915
1,1,1621714787947723954
1,1,1621714787947831132
1,1,1621714787948552055
1,1,1621714787949571744
1,1,1621714787949748141
1,1,1621714787949886758
1,1,1621714787950142529
1,1,1621714787950302058
1,1,1621714787950449861
1,1,1621714787950542979
1,1,1621714787950875371
1,1,1621714787951484750
1,1,1621714787951595798
1,1,1621714787951721852
1,1,1621714787951806794
1,1,1621714787951905342
1,1,1621714787952358816
1,1,1621714787952805450
1,1,1621714787977583565
1,1,1621714787977786725
1,1,1621714787977883387
1,1,1621714787977998694
1,1,1621714787978081400
1,1,1621714787978165833
1,2,1621714787978570838
1,2,1621714787978695245
1,2,1621714787979129643
1,2,1621714787979276564
1,2,1621714787979364271
1,2,1621714787980124357
1,2,1621714787980553760
1,2,1621714787980741470
1,2,1621714787981302256
1,2,1621714787981412985
1,2,1621714787981504480
1,2,1621714787981582784
1,2,1621714787981909023
1,2,1621714787982001818
1,1,1621714787982137022
1,1,1621714788619599887
1,1,1621714788620608298
1,1,1621714788621171364
1,1,1621714788621810276
1,1,1621714788622029812
1,1,1621714788622142739
1,1,1621714788622232752
1,1,1621714788622329668
1,1,1621714788622431032
1,1,1621714788630139213
1,1,1621714788630296677
1,1,1621714788630375372
1,1,1621714788630451534
1,1,1621714788630501162
1,1,1621714791184117494
1,1,1621714791184991588
1,1,1621714791185130532
1,1,1621714791185395912
1,1,1621714791185517189
1,1,1621714791185610446
1,1,1621714791185693091
1,1,1621714791185781181
1,1,1621714791186070083
1,1,1621714791194632142
1,1,1621714791195452802
1,1,1621714791195891613
1,1,1621714791196057695
1,1,1621714791196201405
1,1,1621714791196397873
1,1,1621714791196496645
1,1,1621714791196571814
