size,destination,fec,timestamp
30,10.1.2.2:48107,false,1621714772344749889
243,10.1.2.2:48107,false,1621714772344933947
33,10.1.2.2:48107,false,1621714772395648194
30,10.1.2.2:48107,false,1621714772396175886
1137,10.1.2.2:48107,false,1621714772402512010
33,10.1.2.2:48107,false,1621714772453488413
30,10.1.2.2:48107,false,1621714772454388731
236,10.1.2.2:48107,false,1621714772454936872
31,10.1.3.2:60706,false,1621714772496305642
59,10.1.3.2:60706,false,1621714772497465157
31,10.1.3.2:60706,false,1621714772497788845
31,10.1.3.2:60706,false,1621714772497884558
31,10.1.3.2:60706,false,1621714772498279757
31,10.1.3.2:60706,false,1621714772498591306
31,10.1.3.2:60706,false,1621714772498707485
31,10.1.3.2:60706,false,1621714772498822823
31,10.1.3.2:60706,false,1621714772498914224
31,10.1.3.2:60706,false,1621714772498998578
31,10.1.2.2:55621,false,1621714772506365718
31,10.1.2.2:55621,false,1621714772507420777
31,10.1.2.2:55621,false,1621714772508194154
31,10.1.2.2:55621,false,1621714772508467275
31,10.1.2.2:55621,false,1621714772508553425
31,10.1.2.2:55621,false,1621714772508642270
31,10.1.2.2:55621,false,1621714772508722705
31,10.1.2.2:55621,false,1621714772508797775
31,10.1.2.2:55621,false,1621714772508875261
31,10.1.2.2:55621,false,1621714772508953848
34,10.1.3.2:60706,false,1621714772528338050
31,10.1.3.2:60706,false,1621714772529155349
31,10.1.3.2:60706,false,1621714772529755164
31,10.1.3.2:60706,false,1621714772529943197
31,10.1.3.2:60706,false,1621714772530059691
31,10.1.3.2:60706,false,1621714772530154762
31,10.1.3.2:60706,false,1621714772530592026
31,10.1.3.2:60706,false,1621714772530721894
31,10.1.3.2:60706,false,1621714772530821694
31,10.1.3.2:60706,false,1621714772530985862
31,10.1.3.2:60706,false,1621714772531515478
25,10.1.3.2:60706,false,1621714772531553115
31,10.1.3.2:60706,false,1621714772531669351
31,10.1.3.2:60706,false,1621714772531843699
31,10.1.3.2:60706,false,1621714772531931587
31,10.1.3.2:60706,false,1621714772532015499
31,10.1.3.2:60706,false,1621714772532103068
31,10.1.3.2:60706,false,1621714772532546847
31,10.1.3.2:60706,false,1621714772533111215
34,10.1.3.2:60706,false,1621714773973004026
31,10.1.3.2:60706,false,1621714773973898190
31,10.1.3.2:60706,false,1621714773974021010
31,10.1.3.2:60706,false,1621714773974120285
31,10.1.3.2:60706,false,1621714773974997499
31,10.1.3.2:60706,false,1621714773975112180
31,10.1.3.2:60706,false,1621714773975214012
31,10.1.3.2:60706,false,1621714773975306063
31,10.1.3.2:60706,false,1621714773975428441
34,10.1.2.2:55621,false,1621714773984082617
31,10.1.2.2:55621,false,1621714773984330496
31,10.1.2.2:55621,false,1621714773984844618
31,10.1.2.2:55621,false,1621714773984947910
31,10.1.2.2:55621,false,1621714773985044448
31,10.1.2.2:55621,false,1621714773985136233
31,10.1.2.2:55621,false,1621714773985224461
31,10.1.2.2:55621,false,1621714773985312759
31,10.1.2.2:55621,false,1621714773985472037
31,10.1.3.2:60706,false,1621714774004505969
31,10.1.3.2:60706,false,1621714774005185154
34,10.1.3.2:60706,false,1621714774005354472
25,10.1.3.2:60706,false,1621714774005397110
31,10.1.3.2:60706,false,1621714774005601482
31,10.1.3.2:60706,false,1621714774005700056
31,10.1.3.2:60706,false,1621714774005784185
31,10.1.3.2:60706,false,1621714774005865814
31,10.1.3.2:60706,false,1621714774005948196
31,10.1.3.2:60706,false,1621714774006033775
31,10.1.3.2:60706,false,1621714774006620675
31,10.1.3.2:60706,false,1621714774007128893
31,10.1.3.2:60706,false,1621714774007727300
31,10.1.3.2:60706,false,1621714774007843291
31,10.1.3.2:60706,false,1621714774007960228
31,10.1.3.2:60706,false,1621714774008174688
31,10.1.3.2:60706,false,1621714774008283758
31,10.1.3.2:60706,false,1621714774008385905
31,10.1.3.2:60706,false,1621714774008480275
31,10.1.3.2:60706,false,1621714774009049137
31,10.1.2.2:55621,false,1621714774034965823
31,10.1.2.2:55621,false,1621714774035058856
34,10.1.2.2:55621,false,1621714774035176603
31,10.1.2.2:55621,false,1621714774035739789
31,10.1.3.2:60706,false,1621714774036240500
31,10.1.3.2:60706,false,1621714774036326991
31,10.1.2.2:55621,false,1621714774036404038
31,10.1.2.2:55621,false,1621714774036483071
31,10.1.2.2:55621,false,1621714774037083790
31,10.1.2.2:55621,false,1621714774037191161
31,10.1.3.2:60706,false,1621714774037291017
25,10.1.3.2:60706,false,1621714774037334479
31,10.1.2.2:55621,false,1621714774037432981
31,10.1.3.2:60706,false,1621714774037541289
31,10.1.2.2:55621,false,1621714774037665587
31,10.1.3.2:60706,false,1621714774037772104
31,10.1.2.2:55621,false,1621714774037869196
31,10.1.3.2:60706,false,1621714774037965314
31,10.1.2.2:55621,false,1621714774038231169
34,10.1.3.2:60706,false,1621714774038336553
31,10.1.2.2:55621,false,1621714774038421418
31,10.1.3.2:60706,false,1621714774038493472
31,10.1.2.2:55621,false,1621714774039054059
31,10.1.3.2:60706,false,1621714774039188195
31,10.1.2.2:55621,false,1621714774039344248
31,10.1.3.2:60706,false,1621714774039451911
31,10.1.2.2:55621,false,1621714774039686000
31,10.1.3.2:60706,false,1621714774039764690
31,10.1.2.2:55621,false,1621714774039863294
31,10.1.3.2:60706,false,1621714774040558213
31,10.1.2.2:55621,false,1621714774040766421
31,10.1.3.2:60706,false,1621714774041316837
31,10.1.2.2:55621,false,1621714774041505684
31,10.1.3.2:60706,false,1621714774042097350
31,10.1.3.2:60706,false,1621714774042236855
31,10.1.3.2:60706,false,1621714774042349404
31,10.1.3.2:60706,false,1621714774042456900
31,10.1.3.2:60706,false,1621714774042664813
31,10.1.3.2:60706,false,1621714774042735380
34,10.1.3.2:60706,false,1621714778459468920
31,10.1.3.2:60706,false,1621714778460427120
31,10.1.3.2:60706,false,1621714778460577333
25,10.1.3.2:60706,false,1621714778460612282
34,10.1.3.2:60706,false,1621714783749745292
31,10.1.3.2:60706,false,1621714783750527570
31,10.1.3.2:60706,false,1621714783750654231
31,10.1.3.2:60706,false,1621714783750779809
31,10.1.3.2:60706,false,1621714783751125848
31,10.1.3.2:60706,false,1621714783751219891
34,10.1.3.2:60706,false,1621714786959535886
31,10.1.3.2:60706,false,1621714786960312188
31,10.1.3.2:60706,false,1621714786960611544
31,10.1.3.2:60706,false,1621714786960696873
31,10.1.3.2:60706,false,1621714786960779291
31,10.1.3.2:60706,false,1621714786960867137
31,10.1.3.2:60706,false,1621714786960989393
31,10.1.3.2:60706,false,1621714786961683495
31,10.1.3.2:60706,false,1621714786961814785
34,10.1.2.2:55621,false,1621714786970713000
31,10.1.2.2:55621,false,1621714786970963891
31,10.1.2.2:55621,false,1621714786971346459
34,10.1.3.2:60706,false,1621714787916586444
31,10.1.3.2:60706,false,1621714787917135056
31,10.1.3.2:60706,false,1621714787918151687
31,10.1.3.2:60706,false,1621714787918266018
25,10.1.3.2:60706,false,1621714787918310467
31,10.1.3.2:60706,false,1621714787918715327
31,10.1.3.2:60706,false,1621714787918851154
31,10.1.3.2:60706,false,1621714787918955372
31,10.1.3.2:60706,false,1621714787919048146
31,10.1.3.2:60706,false,1621714787919157029
34,10.1.2.2:55621,false,1621714787926824499
31,10.1.2.2:55621,false,1621714787926953877
31,10.1.2.2:55621,false,1621714787927072553
31,10.1.2.2:55621,false,1621714787928099238
31,10.1.2.2:55621,false,1621714787928754026
31,10.1.2.2:55621,false,1621714787929476640
31,10.1.2.2:55621,false,1621714787929582252
31,10.1.2.2:55621,false,1621714787929659310
31,10.1.2.2:55621,false,1621714787929734884
31,10.1.3.2:60706,false,1621714787947579275
31,10.1.3.2:60706,false,1621714787947751309
31,10.1.3.2:60706,false,1621714787947846697
31,10.1.3.2:60706,false,1621714787949001637
31,10.1.3.2:60706,false,1621714787949635060
31,10.1.3.2:60706,false,1621714787949791893
31,10.1.3.2:60706,false,1621714787949922012
31,10.1.3.2:60706,false,1621714787950177217
34,10.1.3.2:60706,false,1621714787950318914
31,10.1.3.2:60706,false,1621714787950471732
31,10.1.3.2:60706,false,1621714787950721731
31,10.1.3.2:60706,false,1621714787950966873
31,10.1.3.2:60706,false,1621714787951514253
31,10.1.3.2:60706,false,1621714787951621739
25,10.1.3.2:60706,false,1621714787951657682
31,10.1.3.2:60706,false,1621714787951737376
31,10.1.3.2:60706,false,1621714787951825028
31,10.1.3.2:60706,false,1621714787952265123
31,10.1.3.2:60706,false,1621714787952383059
31,10.1.3.2:60706,false,1621714787952930539
31,10.1.2.2:55621,false,1621714787977654132
31,10.1.2.2:55621,false,1621714787977810865
34,10.1.2.2:55621,false,1621714787977919461
31,10.1.2.2:55621,false,1621714787978019223
31,10.1.2.2:55621,false,1621714787978102685
31,10.1.2.2:55621,false,1621714787978202117
31,10.1.3.2:60706,false,1621714787978607371
31,10.1.3.2:60706,false,1621714787978728046
31,10.1.2.2:55621,false,1621714787979180701
31,10.1.2.2:55621,false,1621714787979302478
31,10.1.2.2:55621,false,1621714787979386140
31,10.1.2.2:55621,false,1621714787980165354
31,10.1.2.2:55621,false,1621714787980620607
31,10.1.2.2:55621,false,1621714787981232804
31,10.1.2.2:55621,false,1621714787981330666
31,10.1.2.2:55621,false,1621714787981448199
31,10.1.2.2:55621,false,1621714787981521197
31,10.1.2.2:55621,false,1621714787981602245
31,10.1.2.2:55621,false,1621714787981939623
31,10.1.2.2:55621,false,1621714787982042510
31,10.1.2.2:55621,false,1621714787982159141
34,10.1.3.2:60706,false,1621714788620412070
31,10.1.3.2:60706,false,1621714788620640345
31,10.1.3.2:60706,false,1621714788621203556
31,10.1.3.2:60706,false,1621714788621909867
31,10.1.3.2:60706,false,1621714788622054677
31,10.1.3.2:60706,false,1621714788622161340
31,10.1.3.2:60706,false,1621714788622249215
31,10.1.3.2:60706,false,1621714788622346244
31,10.1.3.2:60706,false,1621714788622459342
34,10.1.2.2:55621,false,1621714788630207776
31,10.1.2.2:55621,false,1621714788630318918
31,10.1.2.2:55621,false,1621714788630397161
31,10.1.2.2:55621,false,1621714788630474415
37,10.1.3.2:60706,false,1621714788630526137
37,10.1.3.2:60706,false,1621714788630560972
31,10.1.2.2:55621,false,1621714788630595269
34,10.1.3.2:60706,false,1621714788661187504
31,10.1.3.2:60706,false,1621714791184618387
31,10.1.3.2:60706,false,1621714791185050608
31,10.1.3.2:60706,false,1621714791185306794
31,10.1.3.2:60706,false,1621714791185431141
31,10.1.3.2:60706,false,1621714791185543354
31,10.1.3.2:60706,false,1621714791185629308
31,10.1.3.2:60706,false,1621714791185711628
31,10.1.3.2:60706,false,1621714791185800570
31,10.1.3.2:60706,false,1621714791186096407
34,10.1.2.2:55621,false,1621714791195236664
31,10.1.2.2:55621,false,1621714791195494254
31,10.1.2.2:55621,false,1621714791195969076
31,10.1.2.2:55621,false,1621714791196095609
31,10.1.2.2:55621,false,1621714791196232547
31,10.1.2.2:55621,false,1621714791196425570
31,10.1.2.2:55621,false,1621714791196516653
31,10.1.2.2:55621,false,1621714791196588628
