path,cwnd,free,timestamp
10.1.1.2:4242,11680,8033,1621714778443928197
10.1.1.2:4242,11680,10733,1621714778475688667
10.1.1.2:4242,11680,11680,1621714778475814985
10.1.1.2:4242,11680,10330,1621714783734095551
10.1.1.2:4242,11680,8980,1621714783734180697
10.1.1.2:4242,11680,7630,1621714783734252959
10.1.1.2:4242,11680,6280,1621714783734318665
10.1.1.2:4242,11680,4930,1621714783734378880
10.1.1.2:4242,11680,3626,1621714783734436884
10.1.1.2:4242,13140,7786,1621714783765764526
10.1.1.2:4242,11680,10330,1621714786943900640
10.1.1.2:4242,11680,8980,1621714786943965493
10.1.1.2:4242,11680,7630,1621714786944021525
10.1.1.2:4242,11680,6280,1621714786944077022
10.1.1.2:4242,11680,4930,1621714786944147335
10.1.1.2:4242,11680,3580,1621714786944227668
10.1.1.2:4242,11680,2230,1621714786944291598
10.1.1.2:4242,11680,880,1621714786944348488
10.1.1.2:4242,11680,0,1621714786944414874
10.1.1.2:4242,11680,10330,1621714786944473601
10.1.1.2:4242,11680,8980,1621714786944550176
10.1.1.2:4242,11680,8902,1621714786944593322
10.1.1.2:4242,14600,5150,1621714786975549150
10.1.1.2:4242,11680,11602,1621714786996241581
10.1.1.2:4242,11680,10330,1621714787900674369
10.1.1.2:4242,11680,8980,1621714787900755145
10.1.1.2:4242,11680,7630,1621714787900827222
10.1.1.2:4242,11680,6280,1621714787900892562
10.1.1.2:4242,11680,4930,1621714787900954254
10.1.1.2:4242,11680,3580,1621714787901022737
10.1.1.2:4242,11680,2230,1621714787901084159
10.1.1.2:4242,11680,880,1621714787901140880
10.1.1.2:4242,11680,0,1621714787901200003
10.1.1.2:4242,11680,10330,1621714787901256785
10.1.1.2:4242,11680,8980,1621714787901311869
10.1.1.2:4242,11680,7630,1621714787901373059
10.1.1.2:4242,11680,6280,1621714787901448475
10.1.1.2:4242,11680,4930,1621714787901516050
10.1.1.2:4242,11680,3580,1621714787901582364
10.1.1.2:4242,11680,2230,1621714787901647537
10.1.1.2:4242,11680,880,1621714787901708384
10.1.1.2:4242,11680,0,1621714787901767785
10.1.1.2:4242,13140,990,1621714787931984636
10.1.1.2:4242,13140,0,1621714787932061057
10.1.1.2:4242,14600,1100,1621714787932422463
10.1.1.2:4242,14600,0,1621714787932492011
10.1.1.2:4242,16060,1210,1621714787933416522
10.1.1.2:4242,16060,0,1621714787933500872
10.1.1.2:4242,17520,1320,1621714787933587666
10.1.1.2:4242,17520,0,1621714787933657633
10.1.1.2:4242,17520,0,1621714787933696965
10.1.1.2:4242,18980,1430,1621714787934010759
